Market,IS,Return,Sharpe Ratio,Win Rate,OOS,Return,Win Rate, Market Change
USDT, 20201001_20210101,26.06%,7.81808,47/65/4, 20210101_20210201,33.33%,15/14/2,98.29%
USDT, 20201101_20210201,96.23%,7.14059,305/38/258, 20210201_20210301,58.12%,24/0/5,86.18%
USDT, 20201201_20210301,96.30%,9.52268,122/73/14, 20210301_20210401,10.77%,16/15/1,61.02%
USDT, 20210101_20210401,137.55%,10.28434,359/14/244, 20210401_20210501,31.59%,19/0/11,66.04%
USDT, 20210201_20210501,122.06%,9.21031,250/91/47, 20210501_20210601,1.93%,18/3/10,-20.01%
BTC, 20201001_20210101,16.00%,2.27881,23/7/24, 20210101_20210201,-9.12%,16/5/10,78.52%
BTC, 20201101_20210201,105.61%,7.75606,78/72/6, 20210201_20210301,3.67%,9/14/5,38.38%
BTC, 20201201_20210301,151.84%,8.88211,108/92/9, 20210301_20210401,6.2%,17/12/2,20.63%
BTC, 20210101_20210401,305.30%,9.33930,291/162/37, 20210401_20210501,18.5%,18/7/4,70.39%
BTC, 20210201_20210501,336.68%,9.18048,830/70/968, 20210501_20210601,68.04%,21/0/11,14.16%
