Market,IS,Return,Sharpe Ratio,Win Rate,OOS,Return,Win Rate, Market Change
USDT, 20201001_20210101,191.83%,11.77455,53/18/2, 20210101_20210201,26.68%,8/20/2,86.01%
USDT, 20201101_20210201,239.76%,14.39749,74/18/1, 20210201_20210301,-7.77%,7/5/1,107.01%
USDT, 20201201_20210301,157.73%,7.91124,31/13/5, 20210301_20210401,-2.29%,0/15/1,94.86%
USDT, 20210101_20210401,264.04%,10.85524,46/32/8, 20210401_20210501,39.8%,7/14/2,56.0%
USDT, 20210201_20210501,245.83%,11.48441,41/29/1, 20210501_20210601,-20.39%,2/14/1,-25.5%
BTC, 20201001_20210101,23.24%,1.07194,164/21/266, 20210101_20210201,69.72%,19/0/11,66.18%
BTC, 20201101_20210201,126.57%,5.95087,279/35/203, 20210201_20210301,-1.54%,14/1/12,46.11%
BTC, 20201201_20210301,66.23%,5.40221,70/45/28, 20210301_20210401,12.07%,10/18/2,51.33%
BTC, 20210101_20210401,120.15%,12.36803,93/119/13, 20210401_20210501,18.15%,15/10/3,54.99%
BTC, 20210201_20210501,94.23%,10.86200,68/85/8, 20210501_20210601,-20.79%,8/15/5,12.91%
