Market,IS,Return,Sharpe Ratio,Win Rate,OOS,Return,Win Rate, Market Change
USDT, 20201001_20210101,28.44%,11.24653,84/66/3, 20210101_20210201,34.31%,16/12/3,90.17%
USDT, 20201101_20210201,70.37%,9.36262,101/67/6, 20210201_20210301,23.07%,20/4/3,92.59%
USDT, 20201201_20210301,103.09%,10.80372,134/92/11, 20210301_20210401,4.87%,10/19/1,63.41%
USDT, 20210101_20210401,163.13%,11.00910,659/2/753, 20210401_20210501,36.9%,22/0/8,60.82%
USDT, 20210201_20210501,144.96%,10.07994,521/0/716, 20210501_20210601,1.28%,15/1/15,-23.51%
BTC, 20201001_20210101,9.60%,0.10505,321/19/413, 20210101_20210201,189.04%,23/0/8,72.81%
BTC, 20201101_20210201,219.09%,6.22288,488/18/520, 20210201_20210301,96.97%,18/0/9,35.11%
BTC, 20201201_20210301,368.89%,7.55010,1100/0/1376, 20210301_20210401,87.73%,23/0/8,22.96%
BTC, 20210101_20210401,470.73%,9.38642,932/0/1641, 20210401_20210501,132.03%,22/0/8,66.63%
BTC, 20210201_20210501,381.75%,9.86201,888/1/1463, 20210501_20210601,53.69%,18/0/13,18.25%
