Market,IS,Return,Sharpe Ratio,Win Rate,OOS,Return,Win Rate, Market Change
USDT, 20201001_20210101,32.04%,8.59027,79/88/6, 20210101_20210201,16.69%,15/12/5,90.17%
USDT, 20201101_20210201,46.95%,11.71194,100/86/15, 20210201_20210301,14.59%,19/7/2,92.59%
USDT, 20201201_20210301,51.99%,8.03980,129/47/9, 20210301_20210401,11.67%,18/12/2,63.41%
USDT, 20210101_20210401,68.05%,12.29060,142/82/16, 20210401_20210501,8.48%,16/10/4,60.82%
USDT, 20210201_20210501,49.02%,9.61176,154/102/11, 20210501_20210601,-17.86%,17/6/7,-23.51%
BTC, 20201001_20210101,0.13%,1.98109,1/0/0, 20210101_20210201,1.26%,1/0/0,72.81%
BTC, 20201101_20210201,52.74%,4.23868,76/86/11, 20210201_20210301,12.71%,18/6/4,35.11%
BTC, 20201201_20210301,12.27%,5.60197,41/0/22, 20210301_20210401,0.5%,8/14/6,22.96%
BTC, 20210101_20210401,59.67%,8.94704,59/59/4, 20210401_20210501,12.8%,14/13/3,66.63%
BTC, 20210201_20210501,42.22%,7.60566,48/52/12, 20210501_20210601,-25.13%,15/8/4,18.25%
