Market,IS,Return,Sharpe Ratio,Win Rate,OOS,Return,Win Rate, Market Change
USDT, 20201001_20210101,20.20%,8.39606,40/47/1, 20210101_20210201,8.44%,11/14/0,90.17%
USDT, 20201101_20210201,24.30%,12.60454,84/36/1, 20210201_20210301,1.74%,12/12/2,92.59%
USDT, 20201201_20210301,52.81%,9.91947,93/43/7, 20210301_20210401,2.04%,12/15/2,63.41%
USDT, 20210101_20210401,72.09%,13.95531,145/54/12, 20210401_20210501,13.74%,23/4/3,60.82%
USDT, 20210201_20210501,63.79%,11.97049,153/53/7, 20210501_20210601,-19.41%,15/9/5,-23.51%
BTC, 20201001_20210101,-4.70%,0.35272,74/54/31, 20210101_20210201,37.04%,19/7/4,72.81%
BTC, 20201101_20210201,67.00%,7.48668,126/89/5, 20210201_20210301,17.91%,21/5/2,35.11%
BTC, 20201201_20210301,74.16%,6.61214,145/54/8, 20210301_20210401,6.79%,19/8/3,22.96%
BTC, 20210101_20210401,115.61%,13.04878,198/69/7, 20210401_20210501,30.02%,21/7/2,66.63%
BTC, 20210201_20210501,96.62%,18.74781,155/52/6, 20210501_20210601,-18.55%,19/7/3,18.25%
