Market,IS,Return,Sharpe Ratio,Win Rate,OOS,Return,Win Rate, Market Change
USDT, 20201001_20210101,11.00%,11.53945,44/15/0, 20210101_20210201,2.65%,5/22/0,90.17%
USDT, 20201101_20210201,18.93%,10.79929,57/34/1, 20210201_20210301,7.85%,10/7/1,92.59%
USDT, 20201201_20210301,12.98%,10.93136,46/14/1, 20210301_20210401,-0.22%,7/13/1,63.41%
USDT, 20210101_20210401,8.83%,7.61844,24/8/0, 20210401_20210501,5.6%,4/12/0,60.82%
USDT, 20210201_20210501,33.48%,8.51184,67/21/3, 20210501_20210601,-17.92%,11/15/4,-23.51%
BTC, 20201001_20210101,7.52%,2.10582,24/9/16, 20210101_20210201,-4.61%,1/4/2,72.81%
BTC, 20201101_20210201,17.72%,4.52738,21/15/1, 20210201_20210301,3.83%,2/4/0,35.11%
BTC, 20201201_20210301,42.09%,7.16436,55/29/3, 20210301_20210401,-2.98%,7/19/3,22.96%
BTC, 20210101_20210401,69.28%,9.14984,58/58/3, 20210401_20210501,24.66%,15/11/1,66.63%
BTC, 20210201_20210501,86.21%,13.13649,72/70/2, 20210501_20210601,-4.05%,10/19/1,18.25%
