Market,IS,Return,Sharpe Ratio,Win Rate,OOS,Return,Win Rate, Market Change
USDT, 20201001_20210101,39.24%,4.66832,14/0/1, 20210101_20210201,-13.9%,0/0/1,86.01%
USDT, 20201101_20210201,242.23%,6.91024,63/7/26, 20210201_20210301,72.04%,14/9/2,107.01%
USDT, 20201201_20210301,80.53%,6.26996,10/0/0, 20210301_20210401,-24.58%,0/0/1,94.86%
USDT, 20210101_20210401,282.22%,9.93569,64/2/15, 20210401_20210501,68.52%,12/9/4,56.0%
USDT, 20210201_20210501,224.42%,10.14238,67/12/12, 20210501_20210601,-3.53%,8/4/4,-25.5%
BTC, 20201001_20210101,5.08%,2.55403,3/2/0, 20210101_20210201,-3.41%,1/0/1,66.18%
BTC, 20201101_20210201,52.39%,5.22844,73/0/29, 20210201_20210301,40.18%,14/9/0,46.11%
BTC, 20201201_20210301,108.12%,7.32480,111/0/43, 20210301_20210401,23.8%,10/15/0,51.33%
BTC, 20210101_20210401,282.91%,15.59808,602/10/227, 20210401_20210501,22.81%,20/1/7,54.99%
BTC, 20210201_20210501,124.46%,12.09728,219/3/75, 20210501_20210601,-35.72%,15/5/6,12.91%
