Market,IS,Return,Sharpe Ratio,Win Rate,OOS,Return,Win Rate, Market Change
USDT, 20201001_20210101,14.82%,9.59233,79/0/20, 20210101_20210201,4.81%,11/15/5,90.17%
USDT, 20201101_20210201,58.30%,9.78379,216/40/43, 20210201_20210301,6.44%,17/4/5,92.59%
USDT, 20201201_20210301,53.92%,10.07819,256/0/81, 20210301_20210401,4.81%,22/2/7,63.41%
USDT, 20210101_20210401,56.18%,11.33419,273/4/87, 20210401_20210501,1.33%,24/0/6,60.82%
USDT, 20210201_20210501,38.51%,10.03430,106/29/25, 20210501_20210601,-15.23%,9/11/7,-23.51%
BTC, 20201001_20210101,10.73%,5.55734,31/0/16, 20210101_20210201,-1.24%,0/4/2,72.81%
BTC, 20201101_20210201,13.30%,5.89694,29/0/11, 20210201_20210301,0.54%,5/14/1,35.11%
BTC, 20201201_20210301,79.52%,5.36827,360/6/165, 20210301_20210401,-5.26%,16/2/14,20.86%
BTC, 20210101_20210401,3.81%,5.01411,9/0/3, 20210401_20210501,0.45%,1/0/1,49.32%
BTC, 20210201_20210501,4.83%,6.57214,15/0/2, 20210501_20210601,-0.13%,3/6/2,17.18%
