Market,IS,Return,Sharpe Ratio,Win Rate,OOS,Return,Win Rate, Market Change
USDT, 20201001_20210101,5.47%,0.72678,119/0/75, 20210101_20210201,5.6%,12/11/2,90.17%
USDT, 20201101_20210201,35.88%,4.25910,272/8/99, 20210201_20210301,13.9%,20/0/7,92.59%
USDT, 20201201_20210301,42.57%,7.04858,155/21/65, 20210301_20210401,2.74%,12/14/3,63.41%
USDT, 20210101_20210401,41.58%,9.54111,206/2/62, 20210401_20210501,7.0%,13/11/3,60.82%
USDT, 20210201_20210501,39.02%,8.88596,256/0/57, 20210501_20210601,-0.98%,13/9/5,-23.51%
BTC, 20201001_20210101,4.95%,0.05031,284/0/277, 20210101_20210201,54.07%,24/1/6,72.81%
BTC, 20201101_20210201,63.38%,3.83972,333/0/249, 20210201_20210301,18.67%,19/1/8,35.11%
BTC, 20201201_20210301,78.08%,5.51142,366/2/198, 20210301_20210401,15.08%,17/0/14,22.96%
BTC, 20210101_20210401,156.37%,12.84854,440/80/157, 20210401_20210501,7.3%,20/0/10,66.63%
BTC, 20210201_20210501,65.41%,9.38010,161/1/67, 20210501_20210601,-19.34%,11/11/5,18.25%
