Market,IS,Return,Sharpe Ratio,Win Rate,OOS,Return,Win Rate, Market Change
USDT, 20201001_20210101,24.64%,6.40040,90/75/9, 20210101_20210201,26.04%,23/6/2,90.17%
USDT, 20201101_20210201,50.31%,12.97072,137/62/10, 20210201_20210301,7.52%,19/4/4,92.59%
USDT, 20201201_20210301,56.37%,8.99440,170/71/51, 20210301_20210401,-0.37%,16/5/9,63.41%
USDT, 20210101_20210401,80.07%,15.35787,179/99/6, 20210401_20210501,5.27%,15/10/5,60.82%
USDT, 20210201_20210501,59.64%,11.35924,148/60/9, 20210501_20210601,-28.04%,14/9/7,-23.51%
BTC, 20201001_20210101,10.39%,1.78309,37/6/27, 20210101_20210201,19.36%,9/18/1,72.81%
BTC, 20201101_20210201,71.40%,5.02685,191/55/52, 20210201_20210301,1.03%,15/4/8,35.11%
BTC, 20201201_20210301,122.29%,6.65712,638/19/222, 20210301_20210401,8.13%,17/0/14,22.96%
BTC, 20210101_20210401,154.33%,8.75334,530/70/280, 20210401_20210501,30.25%,24/0/6,66.63%
BTC, 20210201_20210501,68.63%,9.78559,86/61/17, 20210501_20210601,-16.33%,16/12/2,18.25%
