Market,IS,Return,Sharpe Ratio,Win Rate,OOS,Return,Win Rate, Market Change
USDT, 20201001_20210101,145.96%,8.17774,28/23/2, 20210101_20210201,80.02%,10/19/1,86.01%
USDT, 20201101_20210201,80.63%,10.55808,34/6/0, 20210201_20210301,-19.93%,5/10/1,107.01%
USDT, 20201201_20210301,83.03%,11.09380,28/6/0, 20210301_20210401,8.75%,4/21/0,94.86%
USDT, 20210101_20210401,189.01%,12.91370,36/17/1, 20210401_20210501,4.69%,2/24/1,56.0%
USDT, 20210201_20210501,137.49%,12.48673,29/8/0, 20210501_20210601,-24.41%,1/9/1,-25.5%
BTC, 20201001_20210101,4.99%,3.34187,30/1/14, 20210101_20210201,-4.52%,2/20/3,66.18%
BTC, 20201101_20210201,84.41%,5.71742,93/96/12, 20210201_20210301,6.78%,15/8/4,46.11%
BTC, 20201201_20210301,118.13%,4.65501,170/103/28, 20210301_20210401,-1.32%,9/19/2,51.33%
BTC, 20210101_20210401,186.86%,11.97211,353/173/31, 20210401_20210501,17.0%,17/5/6,54.99%
BTC, 20210201_20210501,54.51%,11.13645,57/51/2, 20210501_20210601,5.92%,11/15/3,12.91%
