Market,IS,Return,Sharpe Ratio,Win Rate,OOS,Return,Win Rate, Market Change
USDT, 20201001_20210101,28.16%,9.86781,75/99/5, 20210101_20210201,26.4%,15/13/3,90.17%
USDT, 20201101_20210201,24.33%,13.64284,79/34/2, 20210201_20210301,11.03%,15/10/1,92.59%
USDT, 20201201_20210301,111.92%,10.99943,177/96/7, 20210301_20210401,8.41%,16/13/1,63.41%
USDT, 20210101_20210401,36.01%,11.11002,68/57/2, 20210401_20210501,7.77%,10/17/1,60.82%
USDT, 20210201_20210501,117.85%,9.18796,414/0/660, 20210501_20210601,-6.37%,14/1/16,-23.51%
BTC, 20201001_20210101,2.70%,4.48906,7/0/1, 20210101_20210201,1.93%,3/16/0,72.81%
BTC, 20201101_20210201,9.11%,7.01434,16/9/0, 20210201_20210301,1.33%,3/19/1,35.11%
BTC, 20201201_20210301,380.19%,7.76071,1108/0/1402, 20210301_20210401,91.05%,23/0/8,22.96%
BTC, 20210101_20210401,22.07%,8.49914,29/23/3, 20210401_20210501,4.94%,7/20/1,66.63%
BTC, 20210201_20210501,290.99%,9.13758,753/0/1276, 20210501_20210601,45.55%,18/0/13,18.25%
