Market,IS,Return,Sharpe Ratio,Win Rate,OOS,Return,Win Rate, Market Change
USDT, 20201001_20210101,12.48%,9.13336,77/0/22, 20210101_20210201,1.43%,5/17/5,90.17%
USDT, 20201101_20210201,48.57%,9.86395,250/25/77, 20210201_20210301,17.38%,20/3/4,92.59%
USDT, 20201201_20210301,54.71%,8.89061,247/20/77, 20210301_20210401,6.81%,24/1/7,63.41%
USDT, 20210101_20210401,69.31%,11.63289,416/7/144, 20210401_20210501,-5.42%,20/0/11,60.82%
USDT, 20210201_20210501,36.08%,10.06341,89/24/14, 20210501_20210601,-9.56%,9/12/4,-23.51%
BTC, 20201001_20210101,10.84%,5.52642,33/0/17, 20210101_20210201,-1.36%,0/4/2,72.81%
BTC, 20201101_20210201,12.11%,5.82506,22/1/7, 20210201_20210301,0.32%,2/14/1,35.11%
BTC, 20201201_20210301,9.37%,6.15300,32/2/12, 20210301_20210401,-1.55%,2/10/2,22.96%
BTC, 20210101_20210401,119.12%,9.47669,534/6/243, 20210401_20210501,10.89%,22/0/7,66.63%
BTC, 20210201_20210501,48.54%,8.42051,191/1/90, 20210501_20210601,-11.55%,17/6/5,18.25%
