Market,IS,Return,Sharpe Ratio,Win Rate,OOS,Return,Win Rate, Market Change
USDT, 20201001_20210101,34.45%,10.29981,74/78/4, 20210101_20210201,22.44%,11/19/1,90.17%
USDT, 20201101_20210201,63.80%,10.27854,81/78/5, 20210201_20210301,33.11%,21/3/3,92.59%
USDT, 20201201_20210301,89.82%,10.59923,117/106/5, 20210301_20210401,1.71%,9/20/1,63.41%
USDT, 20210101_20210401,83.34%,10.92371,108/89/6, 20210401_20210501,17.07%,18/8/3,60.82%
USDT, 20210201_20210501,81.85%,10.41417,141/109/7, 20210501_20210601,-13.41%,14/11/6,-23.51%
BTC, 20201001_20210101,-1.80%,0.22086,31/23/13, 20210101_20210201,28.21%,14/10/7,72.81%
BTC, 20201101_20210201,101.27%,6.60471,92/84/7, 20210201_20210301,33.76%,14/9/5,35.11%
BTC, 20201201_20210301,83.75%,7.42558,39/37/2, 20210301_20210401,15.59%,8/18/1,22.96%
BTC, 20210101_20210401,158.55%,8.71891,151/108/18, 20210401_20210501,52.35%,24/3/2,66.63%
BTC, 20210201_20210501,171.46%,8.66237,200/116/18, 20210501_20210601,-15.68%,15/12/3,18.25%
