Market,IS,Return,Sharpe Ratio,Win Rate,OOS,Return,Win Rate, Market Change
USDT, 20201001_20210101,119.20%,9.00486,32/29/1, 20210101_20210201,-16.67%,2/6/1,86.01%
USDT, 20201101_20210201,265.55%,10.67295,67/34/5, 20210201_20210301,-13.77%,2/8/1,107.01%
USDT, 20201201_20210301,219.44%,7.09369,46/34/5, 20210301_20210401,-2.68%,1/22/1,94.86%
USDT, 20210101_20210401,258.22%,9.73856,49/37/3, 20210401_20210501,19.73%,8/17/3,56.0%
USDT, 20210201_20210501,314.76%,12.08476,48/41/1, 20210501_20210601,-15.81%,3/13/1,-25.5%
BTC, 20201001_20210101,2.37%,0.04368,90/37/47, 20210101_20210201,39.89%,21/1/7,66.18%
BTC, 20201101_20210201,125.94%,7.43565,125/74/18, 20210201_20210301,-7.54%,13/9/5,46.11%
BTC, 20201201_20210301,110.79%,5.91099,111/66/23, 20210301_20210401,11.09%,12/14/3,51.33%
BTC, 20210101_20210401,121.90%,10.88251,108/103/10, 20210401_20210501,36.15%,18/7/2,54.99%
BTC, 20210201_20210501,130.40%,9.70308,136/129/15, 20210501_20210601,-1.56%,15/9/6,12.91%
