Market,IS,Return,Sharpe Ratio,Win Rate,OOS,Return,Win Rate, Market Change
USDT, 20201001_20210101,79.54%,7.38988,39/27/1, 20210101_20210201,-23.54%,2/0/1,86.01%
USDT, 20201101_20210201,169.61%,10.36502,29/23/1, 20210201_20210301,51.95%,12/14/2,107.01%
USDT, 20201201_20210301,275.29%,6.14426,84/21/6, 20210301_20210401,11.68%,6/23/1,94.86%
USDT, 20210101_20210401,434.61%,11.33432,77/45/5, 20210401_20210501,-8.42%,7/5/2,56.0%
USDT, 20210201_20210501,182.85%,8.38309,27/24/3, 20210501_20210601,-21.27%,1/15/1,-25.5%
BTC, 20201001_20210101,-13.14%,1.11586,46/42/12, 20210101_20210201,24.6%,15/11/2,66.18%
BTC, 20201101_20210201,86.75%,5.32311,140/86/29, 20210201_20210301,23.59%,17/8/3,46.11%
BTC, 20201201_20210301,75.97%,4.94761,214/55/79, 20210301_20210401,5.41%,17/7/7,51.33%
BTC, 20210101_20210401,130.17%,9.32856,219/187/42, 20210401_20210501,6.83%,19/7/5,54.99%
BTC, 20210201_20210501,135.94%,8.88274,194/110/51, 20210501_20210601,-16.31%,17/6/7,12.91%
