Market,IS,Return,Sharpe Ratio,Win Rate,OOS,Return,Win Rate, Market Change
USDT, 20201001_20210101,14.21%,8.94979,35/29/0, 20210101_20210201,12.31%,4/19/1,98.08%
USDT, 20201101_20210201,32.63%,12.01216,60/54/2, 20210201_20210301,-6.86%,13/13/3,87.42%
USDT, 20201201_20210301,53.29%,7.57481,88/76/15, 20210301_20210401,16.06%,17/11/3,56.96%
USDT, 20210101_20210401,51.60%,9.17346,88/62/25, 20210401_20210501,1.23%,14/11/6,66.29%
USDT, 20210201_20210501,55.20%,8.89112,107/70/11, 20210501_20210601,-6.35%,10/17/4,-18.5%
BTC, 20201001_20210101,7.86%,1.15131,59/12/86, 20210101_20210201,6.6%,4/20/6,77.2%
BTC, 20201101_20210201,21.88%,6.77903,24/25/4, 20210201_20210301,8.19%,7/18/2,38.65%
BTC, 20201201_20210301,51.59%,7.24424,69/23/4, 20210301_20210401,6.12%,10/19/2,20.84%
BTC, 20210101_20210401,65.21%,13.19626,48/46/1, 20210401_20210501,26.61%,15/14/1,71.05%
BTC, 20210201_20210501,49.56%,12.76622,75/38/10, 20210501_20210601,2.39%,12/15/5,15.41%
