Market,IS,Return,Sharpe Ratio,Win Rate,OOS,Return,Win Rate, Market Change
USDT, 20201001_20210101,77.32%,6.05363,48/17/1, 20210101_20210201,-10.19%,4/1/2,86.01%
USDT, 20201101_20210201,211.98%,10.35054,33/24/2, 20210201_20210301,-2.54%,2/8/1,107.01%
USDT, 20201201_20210301,436.22%,5.80244,93/52/14, 20210301_20210401,17.04%,5/21/0,94.86%
USDT, 20210101_20210401,433.74%,8.97604,68/63/4, 20210401_20210501,30.35%,8/17/1,56.0%
USDT, 20210201_20210501,210.07%,8.65568,45/35/3, 20210501_20210601,-21.11%,4/10/1,-25.5%
BTC, 20201001_20210101,11.59%,1.04113,18/7/12, 20210101_20210201,15.04%,19/5/4,66.18%
BTC, 20201101_20210201,129.98%,4.66099,145/84/29, 20210201_20210301,14.71%,10/13/3,46.11%
BTC, 20201201_20210301,92.31%,5.62777,111/103/15, 20210301_20210401,17.54%,16/12/1,51.33%
BTC, 20210101_20210401,153.13%,5.74107,222/218/52, 20210401_20210501,21.75%,17/7/3,54.99%
BTC, 20210201_20210501,123.32%,9.16038,189/146/16, 20210501_20210601,-8.9%,17/8/4,12.91%
