Strategy,Market,HOReturn,HOSharpe,HOWinRate,HODrawRate,HOLoseRate,HOTotalTrades,BTReturn,BTMarketChange,BTWinRate,BTDrawRate,BTLoseRate,BTTotalTrades
MACDCrossed,USDT,1.27224,11.046009999999999,0.7304563498015219,0.25829277668345374,0.011250873515024459,43.6,0.09824,0.63676,0.19416329966329965,0.761080808080808,0.04475589225589226,21.8
MACDCrossed,BTC,0.8977999999999999,7.364572000000001,0.5692142698667961,0.3232511353584041,0.10753459477479974,242.8,0.04772,0.46304,0.38440175150519973,0.4850884875022806,0.1305097609925196,27.8
BinHV45,USDT,0.46638,11.369174,0.6409247263104574,0.3274122665286321,0.03166300716091057,155.2,0.0131,0.56696,0.5198479221927498,0.3964916003536693,0.0836604774535809,27.8
BinHV45,BTC,0.69738,9.249626000000001,0.6377892874577736,0.3001987868379178,0.062011925704308565,214.6,0.14642,0.43152,0.674367816091954,0.23065681444991792,0.09497536945812808,29.4
CMCWinner,USDT,0.17044,9.880075999999999,0.721138005235037,0.26681598660348793,0.01204600816147502,67.0,-0.0040800000000000055,0.56696,0.33814814814814814,0.6145502645502645,0.0473015873015873,22.4
CMCWinner,BTC,0.4456399999999999,7.216778000000001,0.535388470392817,0.37918365544415966,0.0854278741630234,87.2,0.0337,0.43152,0.32129173508483855,0.5868016785258164,0.091906586389345,19.8
ClucMay72018,USDT,1.7372799999999997,7.585318000000001,0.8231941052774386,0.045895231311897974,0.1309106634106634,58.6,0.1971,0.63676,0.308,0.194,0.49800000000000005,13.6
ClucMay72018,BTC,1.14592,8.560526,0.6982720181654487,0.08440399224666209,0.21732398958788918,279.4,0.09532,0.46304,0.5599808886765409,0.24386526516961302,0.19615384615384618,20.8
EMASkipPump,USDT,0.54206,11.016526,0.6134489784774381,0.3191850261083572,0.06736599541420468,235.2,0.02083999999999999,0.56696,0.5891278375149344,0.22833930704898447,0.18253285543608122,29.6
EMASkipPump,BTC,0.8540800000000001,6.401197999999999,0.6043997595944313,0.14867803805772292,0.24692220234784584,458.2,0.08488,0.43152,0.5517409114183307,0.23820105820105822,0.210058030380611,29.2
MACDStrategy,USDT,0.6365399999999999,10.961611999999999,0.5318003446982292,0.32808016802126116,0.14011948728050966,355.0,0.09448000000000001,0.56696,0.4805766276734019,0.3753408956634763,0.14408247666312182,29.2
MACDStrategy,BTC,1.4101199999999998,7.380166,0.5709651535887901,0.15563636363636363,0.27339848277484624,925.4,0.28959999999999997,0.43152,0.37218203292241825,0.4764955867930697,0.15132238028451211,26.4
BBRSI2,USDT,0.49610000000000004,10.048874000000001,0.5639805653672136,0.382854881875892,0.05316455275689434,213.2,0.06714,0.56696,0.5619642857142857,0.30666666666666664,0.1313690476190476,30.4
BBRSI2,BTC,0.33405999999999997,5.674888,0.6004555990247262,0.28900041965047174,0.11054398132480195,94.2,0.004280000000000017,0.43152,0.5901587301587302,0.28878306878306875,0.12105820105820105,22.8
AwesomeMacd,USDT,1.0199799999999999,10.500382,0.5164228489860863,0.24120602028988314,0.2423711307240306,643.0,0.20085999999999998,0.56696,0.5614814814814815,0.24016726403823174,0.19835125448028673,29.8
AwesomeMacd,BTC,2.90012,6.625291999999999,0.4171934797479092,0.008640286687121902,0.5741662335649689,1836.0,1.1189200000000001,0.43152,0.6929032258064516,0.0,0.30709677419354836,30.0
AdxSmas,USDT,2.19838,11.284586000000001,0.6533455785757147,0.2971947158985347,0.049459705525750644,74.4,0.07205999999999999,0.63676,0.24542461800773824,0.684201423044134,0.07037395894812774,19.8
AdxSmas,BTC,0.8608399999999999,7.131010000000001,0.44569845449031387,0.29715719324509743,0.25714435226458876,299.4,0.15522000000000002,0.46304,0.4613227513227513,0.305978835978836,0.23269841269841268,28.6
Strategy004,USDT,0.23664000000000002,11.80471,0.739731340824898,0.22709693849257503,0.03317172068252688,87.0,-0.00030000000000000583,0.56696,0.2372350676698503,0.7312772573642139,0.03148767496593584,21.0
Strategy004,BTC,0.32954,7.952338,0.6945382395382396,0.18378066378066377,0.1216810966810967,55.6,0.018999999999999996,0.43152,0.18235625417916623,0.6874803494611237,0.13016339635970997,23.4
CombinedBinHAndCluc,USDT,0.32904,6.092306,0.7110176051710713,0.023130503257502676,0.26585189157142597,279.4,0.05652,0.56696,0.5194993614303959,0.33269987228607917,0.14780076628352487,27.0
CombinedBinHAndCluc,BTC,0.73638,6.326018,0.615605966097902,0.025213754217470945,0.3591802796846271,523.0,0.15155999999999997,0.43152,0.6150452295613585,0.09507595152756443,0.2898788189110769,29.4
Simple,USDT,0.70652,10.503091999999999,0.5124154289698849,0.4606140391476378,0.026970531882477288,201.6,0.12183999999999999,0.56696,0.5009838091706835,0.4042763564454332,0.09473983438388332,29.6
Simple,BTC,1.02646,6.326485999999999,0.5218695113203063,0.4027712071727218,0.07535928150697177,187.8,0.22845999999999997,0.43152,0.5150990812837308,0.3628248318237195,0.12207608689254963,29.0
hlhb,USDT,0.41386,9.320268,0.5255485140139088,0.4139698773567063,0.060481608629384856,144.4,0.03278,0.5805,0.3875046347793845,0.4996014089729329,0.11289395624768261,29.2
hlhb,BTC,0.3922,8.227412000000001,0.5324791244957814,0.3161736366613345,0.15134723884288412,104.8,0.09981999999999999,0.44630000000000003,0.3180346475507766,0.5763306451612904,0.10563470728793309,30.0
mabStra,USDT,2.7386600000000003,7.9676659999999995,0.5834745599901779,0.3759505714809116,0.04057486852891047,100.4,0.027100000000000006,0.63676,0.30398268398268397,0.5996669996669997,0.09635031635031635,17.0
mabStra,BTC,1.02066,5.246268,0.5045798396448712,0.3647192181550795,0.1307009422000493,273.4,0.12028000000000001,0.46304,0.5661494954598403,0.3254971720488962,0.10835333249126351,27.8
Scalp,USDT,0.4423,9.916844,0.7281003549826416,0.06609686382430996,0.20580278119304857,297.8,0.021279999999999997,0.56696,0.5362174432497013,0.25039814814814815,0.21338440860215052,28.4
Scalp,BTC,0.39996,7.080336,0.689656561790027,0.017604105748544166,0.29273933246142886,238.2,-0.006499999999999997,0.43152,0.32525354969574033,0.4837535014005603,0.19099294890369942,18.8
CofiBitStrategy,USDT,0.44345999999999997,10.16456,0.7385063483299195,0.06520365504061157,0.19628999662946894,251.8,0.004320000000000002,0.56696,0.5703391232423491,0.22192813160555097,0.2077327451521,29.0
CofiBitStrategy,BTC,0.22437999999999997,5.68176,0.7389787021912985,0.0022598870056497176,0.2587614108030518,129.4,-0.01128,0.39055999999999996,0.30454545454545456,0.3949242424242424,0.30053030303030304,14.2
SwingHighToSky,USDT,2.2838000000000003,8.723313999999998,0.5984630665829485,0.364982336214572,0.036554597202479465,82.4,0.02080000000000002,0.63676,0.37081232492997196,0.5012324929971989,0.12795518207282913,18.4
SwingHighToSky,BTC,0.83138,5.919575999999999,0.5318560591064984,0.3285141496375141,0.13962979125598757,301.2,0.08824000000000001,0.46304,0.5741628264208909,0.266036866359447,0.15980030721966204,29.6
ADXMomentum,USDT,0.9564,8.7952,0.5445139077668439,0.24601631954468592,0.20946977268847017,386.2,0.27148,0.5830400000000001,0.6050871338524286,0.2034274193548387,0.19148544679273266,30.6
ADXMomentum,BTC,1.83086,7.487352000000001,0.4961750740456606,0.279888991406114,0.22393593454822547,555.4,0.17458,0.44416,0.5325768711266486,0.25795328142380425,0.2094698474495471,30.2
Strategy001,USDT,2.3543399999999997,9.718964,0.554655221126111,0.4119565090198421,0.03338826985404687,86.4,-0.05840000000000001,0.63676,0.1815783889313301,0.7364909600203717,0.08193065104829811,17.8
